distrito;vox;extranjeros
centro;6638;23.11
arganzuela;10885;10.14
retiro;11705;7.99
salamanca;16468;13.53
chamartin;16668;9.73
tetuan;1143;19.44
chamberi;14008;11.43
fuencarral_el_pardo;22677;8.77
moncloa;12086;10.68
latina;15234;16.24
carabanchel;14130;20.16
usera;6351;22.95
puente_de_vallecas;9832;18.77
moratalaz;6119;9.95
ciudad_lineal;15130;14.73
hortaleza;15967;10.5
villaverde;7153;20.3
villa_de_vallecas;6282;12.81
vicalvaro;4072;12.58
san_blas_canillejas;9931;12.85
barajas;4108;9.75
